Jour,Heure,Activité,Lieu
Lundi,9:00,Gym douce,Salle d'activités
Lundi,10:00,Lecture journal,Salon principal
Lundi,13:00,Atelier mémoire,Salle d'activités
Lundi,14:00,Jeux de société,Salon principal
Lundi,15:00,Goûter musical,Salon principal
Mardi,9:00,Jardinage,Jardin
Mardi,10:00,Art-thérapie,Salle d'activités
Mardi,13:00,Jeux de société,Salon principal
Mardi,14:00,Chorale,Salle d'activités
Mardi,15:00,Activités libres,Salon principal
Mercredi,9:00,Méditation,Salle zen
Mercredi,10:00,Atelier cuisine,Cuisine
Mercredi,13:00,Cinéma,Salle de projection
Mercredi,14:00,Quiz musical,Salon principal
Mercredi,15:00,Goûter discussion,Salon principal
Jeudi,9:00,Gym douce,Salle d'activités
Jeudi,10:00,Atelier créatif,Salle d'activités
Jeudi,13:00,Jeux de société,Salon principal
Jeudi,14:00,Quiz musical,Salon principal
Jeudi,15:00,Jeux de mémoire,Salle d'activités
Vendredi,9:00,Relaxation,Salle zen
Vendredi,10:00,Lecture,Bibliothèque
Vendredi,13:00,Loto,Salon principal
Vendredi,14:00,Activités libres,Salon principal
Vendredi,15:00,Goûter dansant,Salle d'activités
Samedi,9:00,Activités libres,Salon principal
Samedi,10:00,Jeux de société,Salon principal
Samedi,13:00,Quiz musical,Salon principal
Samedi,14:00,Film,Salle de projection
Samedi,15:00,Concert,Salle d'activités
Dimanche,9:00,Activités libres,Salon principal
Dimanche,10:00,Jeux de société,Salon principal
Dimanche,13:00,Film,Salle de projection
Dimanche,14:00,Activités libres,Salon principal
Dimanche,15:00,Goûter familial,Salon principal
