Jour;Heure;Type;Plat
Lundi;08:00;petit-déjeuner;Café, pain grillé, beurre, confiture de fraises
Lundi;12:00;déjeuner;Salade de tomates, escalope de porc aux champignons, haricots verts, fromage blanc
Lundi;16:00;goûter;Thé, madeleines, pomme
Lundi;19:00;dîner;Soupe de courgettes, saumon grillé, riz pilaf, mousse au chocolat
Mardi;08:00;petit-déjeuner;Chocolat chaud, croissants, miel
Mardi;12:00;déjeuner;Salade verte, bœuf bourguignon, purée de pommes de terre, yaourt aux fruits
Mardi;16:00;goûter;Café, biscuits sablés, orange
Mardi;19:00;dîner;Velouté de champignons, colin aux herbes, légumes ratatouille, compote de poires
Mercredi;08:00;petit-déjeuner;Thé, biscottes, beurre, miel
Mercredi;12:00;déjeuner;Salade de concombres, poulet basquaise, riz, petit-suisse
Mercredi;16:00;goûter;Tisane, cake aux fruits, banane
Mercredi;19:00;dîner;Potage de légumes, sole meunière, épinards à la crème, flan vanille
Jeudi;08:00;petit-déjeuner;Café au lait, pain de mie, confiture d'abricots
Jeudi;12:00;déjeuner;Salade de betteraves, rôti de veau aux petits légumes, gratin dauphinois, fromage
Jeudi;16:00;goûter;Chocolat chaud, financiers, poire
Jeudi;19:00;dîner;Soupe à l'oignon, cabillaud à la provençale, courgettes sautées, crème caramel
Vendredi;08:00;petit-déjeuner;Thé vert, viennoiseries, beurre
Vendredi;12:00;déjeuner;Salade composée, paella aux fruits de mer, haricots blancs, yaourt nature
Vendredi;16:00;goûter;Café, tartelettes aux fruits, kiwi
Vendredi;19:00;dîner;Bisque de homard, dorade aux aromates, ratatouille, tarte aux pommes
Samedi;08:00;petit-déjeuner;Chocolat, brioche, confiture de cerises
Samedi;12:00;déjeuner;Salade d'endives, gigot d'agneau, flageolets, fromage blanc aux herbes
Samedi;16:00;goûter;Thé, muffins, raisin
Samedi;19:00;dîner;Consommé de volaille, lotte à l'armoricaine, brocolis vapeur, île flottante
Dimanche;08:00;petit-déjeuner;Café, pain aux raisins, beurre doux
Dimanche;12:00;déjeuner;Salade de roquette, canard à l'orange, pommes sarladaises, tarte aux fraises
Dimanche;16:00;goûter;Infusion, chouquettes, mangue
Dimanche;19:00;dîner;Velouté de potiron, bar en croûte de sel, julienne de légumes, profiteroles
