Numéro;Question;Réponse;Choix1;Choix2;Choix3;Choix4
1;En quelle année a eu lieu la Révolution française ?;1789;1792;1789;1804;1776
2;Qui était le roi de France pendant la Révolution ?;Louis XVI;Louis XIV;Louis XVI;Louis XV;Napoléon
3;Quelle guerre mondiale a eu lieu de 1914 à 1918 ?;La Première Guerre mondiale;La Seconde Guerre mondiale;La Première Guerre mondiale;La guerre de Cent Ans;La guerre de Sécession
4;Qui a découvert l'Amérique en 1492 ?;Christophe Colomb;Vasco de Gama;Christophe Colomb;Marco Polo;Amerigo Vespucci
5;En quelle année l'homme a-t-il marché sur la Lune ?;1969;1967;1969;1971;1965
6;Qui était l'empereur des Français au début du 19e siècle ?;Napoléon Bonaparte;Louis XVIII;Napoléon Bonaparte;Charles X;Louis-Philippe
7;Quelle civilisation a construit les pyramides de Gizeh ?;Les Égyptiens;Les Grecs;Les Égyptiens;Les Romains;Les Babyloniens
8;En quelle année a eu lieu la chute du mur de Berlin ?;1989;1987;1989;1991;1985
9;Qui a écrit "Les Misérables" ?;Victor Hugo;Émile Zola;Victor Hugo;Gustave Flaubert;Alexandre Dumas
10;Quelle bataille a marqué la défaite de Napoléon en 1815 ?;Waterloo;Austerlitz;Waterloo;Iéna;Wagram
